,user_id,movie_id,rating,timestamp,date,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
252657,19052,970179,4,1362069634,2013-02-28 16:40:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
339609,25653,373283,5,1362069674,2013-02-28 16:41:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
252644,19052,372784,9,1362069687,2013-02-28 16:41:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
252653,19052,468569,10,1362069763,2013-02-28 16:42:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
367245,27687,970179,8,1362070263,2013-02-28 16:51:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154139,11653,322420,10,1362070730,2013-02-28 16:58:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154126,11653,114787,9,1362070778,2013-02-28 16:59:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154129,11653,118843,10,1362070796,2013-02-28 16:59:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154122,11653,101700,9,1362070920,2013-02-28 17:02:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154125,11653,112682,8,1362070953,2013-02-28 17:02:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154143,11653,372824,10,1362071132,2013-02-28 17:05:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154145,11653,462683,8,1362071210,2013-02-28 17:06:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
651066,49116,1428538,7,1362071478,2013-02-28 17:11:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148864,11312,91670,6,1362071541,2013-02-28 17:12:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
609162,45829,454876,8,1362071597,2013-02-28 17:13:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
255129,19295,80736,7,1362071672,2013-02-28 17:14:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
609161,45829,120731,9,1362071704,2013-02-28 17:15:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
255144,19295,87182,6,1362071793,2013-02-28 17:16:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
367100,27686,114857,7,1362072083,2013-02-28 17:21:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
459629,34342,139654,8,1362072425,2013-02-28 17:27:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
459632,34342,790724,8,1362072445,2013-02-28 17:27:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
576601,43287,938330,10,1362072683,2013-02-28 17:31:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
556115,41788,1333125,3,1362072970,2013-02-28 17:36:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
439132,32829,1316536,9,1362073333,2013-02-28 17:42:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
530538,39788,1492959,5,1362073460,2013-02-28 17:44:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
204698,15652,1024648,6,1362073694,2013-02-28 17:48:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
509102,38222,1606378,2,1362074225,2013-02-28 17:57:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
218824,16498,313542,7,1362074389,2013-02-28 17:59:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
163168,12440,825232,8,1362074564,2013-02-28 18:02:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
434631,32526,1922777,6,1362074583,2013-02-28 18:03:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
149199,11320,1922777,6,1362074625,2013-02-28 18:03:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83476,6428,1667310,7,1362074668,2013-02-28 18:04:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
464467,34784,1565958,7,1362074844,2013-02-28 18:07:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
495608,37027,1308729,10,1362075022,2013-02-28 18:10:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
253687,19139,1024648,10,1362075502,2013-02-28 18:18:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261685,19869,499549,8,1362075510,2013-02-28 18:18:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
500635,37471,1772341,10,1362075512,2013-02-28 18:18:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261679,19869,432283,7,1362075600,2013-02-28 18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261686,19869,875034,7,1362075683,2013-02-28 18:21:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261687,19869,887912,7,1362075748,2013-02-28 18:22:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261690,19869,1054606,8,1362075791,2013-02-28 18:23:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261691,19869,1055369,7,1362075844,2013-02-28 18:24:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261676,19869,397892,9,1362075990,2013-02-28 18:26:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
660359,49965,1486192,5,1362076135,2013-02-28 18:28:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
250219,18917,1549920,8,1362076299,2013-02-28 18:31:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
433023,32450,1568338,7,1362076350,2013-02-28 18:32:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261689,19869,1010048,10,1362076573,2013-02-28 18:36:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261682,19869,468569,8,1362076641,2013-02-28 18:37:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261684,19869,493464,8,1362076721,2013-02-28 18:38:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261681,19869,467406,7,1362076816,2013-02-28 18:40:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
441400,33000,145660,10,1362076867,2013-02-28 18:41:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
606686,45610,1853728,9,1362076895,2013-02-28 18:41:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261680,19869,449088,8,1362077046,2013-02-28 18:44:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
473906,35390,822847,7,1362077087,2013-02-28 18:44:47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261674,19869,382932,8,1362077097,2013-02-28 18:44:57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261677,19869,408236,9,1362077138,2013-02-28 18:45:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261675,19869,385752,9,1362077195,2013-02-28 18:46:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71905,5542,1234719,4,1362077226,2013-02-28 18:47:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
261678,19869,419887,8,1362077249,2013-02-28 18:47:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
458741,34273,74256,10,1362078044,2013-02-28 19:00:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
186182,14366,1606378,3,1362078528,2013-02-28 19:08:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
504448,37991,2178941,8,1362078580,2013-02-28 19:09:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
485601,36246,1907668,7,1362079157,2013-02-28 19:19:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170719,13122,315824,6,1362079293,2013-02-28 19:21:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
536768,40202,1371111,3,1362079303,2013-02-28 19:21:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
345703,26203,2125666,6,1362079612,2013-02-28 19:26:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
367044,27677,1024648,9,1362079660,2013-02-28 19:27:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
672654,50969,1588173,10,1362079943,2013-02-28 19:32:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
336613,25452,1920849,7,1362080099,2013-02-28 19:34:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
490032,36624,1772341,7,1362080122,2013-02-28 19:35:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12093,1102,1204340,7,1362080293,2013-02-28 19:38:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
543646,40798,1217613,7,1362080460,2013-02-28 19:41:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
691795,52553,1907668,4,1362080470,2013-02-28 19:41:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
600554,45149,1446714,10,1362080520,2013-02-28 19:42:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
374754,28238,1024255,10,1362080596,2013-02-28 19:43:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
606365,45561,19760,7,1362080668,2013-02-28 19:44:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
708864,53702,479968,1,1362080826,2013-02-28 19:47:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24256,2295,2024432,5,1362080916,2013-02-28 19:48:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
708865,53702,482599,2,1362080918,2013-02-28 19:48:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
418016,31441,1904996,7,1362080936,2013-02-28 19:48:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
708860,53702,391198,3,1362080953,2013-02-28 19:49:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
600719,45163,780653,6,1362081378,2013-02-28 19:56:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
692219,52572,2608224,9,1362081422,2013-02-28 19:57:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
509075,38218,1010048,8,1362081947,2013-02-28 20:05:47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
649834,48971,1790886,5,1362082005,2013-02-28 20:06:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
622043,46811,1433822,4,1362082654,2013-02-28 20:17:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
540733,40532,1907668,9,1362082805,2013-02-28 20:20:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
371917,28035,1045658,8,1362082901,2013-02-28 20:21:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
626445,47162,913354,3,1362083010,2013-02-28 20:23:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76083,5872,1772341,7,1362083016,2013-02-28 20:23:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
252655,19052,762125,6,1362083018,2013-02-28 20:23:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
513736,38584,1276104,7,1362083107,2013-02-28 20:25:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
183494,14097,1640548,9,1362083160,2013-02-28 20:26:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
571916,42899,1606378,6,1362083328,2013-02-28 20:28:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
595216,44665,205000,7,1362083537,2013-02-28 20:32:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94000,7162,1045658,9,1362083670,2013-02-28 20:34:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
260930,19786,1217209,7,1362083671,2013-02-28 20:34:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
402589,30403,1321860,2,1362083821,2013-02-28 20:37:01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
311886,23670,95765,9,1362084129,2013-02-28 20:42:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
317148,24060,1386703,7,1362084290,2013-02-28 20:44:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
537179,40227,1245526,9,1362084771,2013-02-28 20:52:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
469206,35208,1298649,5,1362084776,2013-02-28 20:52:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10397,931,1321870,9,1362084855,2013-02-28 20:54:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
356835,26945,2125608,10,1362084991,2013-02-28 20:56:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
305090,23052,1321870,8,1362084999,2013-02-28 20:56:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
464603,34803,2400272,10,1362085128,2013-02-28 20:58:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52039,4165,1853728,9,1362085314,2013-02-28 21:01:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86202,6582,1428538,9,1362085519,2013-02-28 21:05:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
340196,25712,1904996,8,1362085580,2013-02-28 21:06:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
233844,17745,1024648,10,1362085628,2013-02-28 21:07:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
398669,30092,983213,5,1362085643,2013-02-28 21:07:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
389130,29346,975645,7,1362085790,2013-02-28 21:09:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
208324,15856,1454029,8,1362085956,2013-02-28 21:12:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
665921,50449,1438173,7,1362086092,2013-02-28 21:14:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
514050,38622,85794,8,1362086470,2013-02-28 21:21:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
228809,17320,1024648,7,1362086498,2013-02-28 21:21:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
649876,48971,2105044,1,1362086606,2013-02-28 21:23:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
526000,39591,54331,10,1362086758,2013-02-28 21:25:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
166409,12770,2024432,9,1362087047,2013-02-28 21:30:47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36680,3262,1277953,7,1362087129,2013-02-28 21:32:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
690880,52510,1374992,5,1362087129,2013-02-28 21:32:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
554779,41734,1981677,7,1362087392,2013-02-28 21:36:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
543384,40756,1675434,9,1362087644,2013-02-28 21:40:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
674581,51201,1790885,5,1362087704,2013-02-28 21:41:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
374360,28200,1904996,8,1362087712,2013-02-28 21:41:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
674535,51201,1446192,6,1362087725,2013-02-28 21:42:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140293,10622,1586265,5,1362087780,2013-02-28 21:43:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206190,15729,1411697,9,1362087839,2013-02-28 21:43:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
346554,26278,381442,10,1362087925,2013-02-28 21:45:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
194412,14907,1981677,5,1362088033,2013-02-28 21:47:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
389767,29400,1922777,10,1362088057,2013-02-28 21:47:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
328547,24849,903624,8,1362088088,2013-02-28 21:48:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
469235,35210,1540128,6,1362088133,2013-02-28 21:48:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56411,4518,1707386,9,1362088212,2013-02-28 21:50:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40112,3476,454876,8,1362088330,2013-02-28 21:52:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78021,6046,2091473,8,1362088356,2013-02-28 21:52:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
508345,38164,1615147,8,1362088436,2013-02-28 21:53:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
432150,32437,1360860,8,1362088699,2013-02-28 21:58:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37114,3310,343660,7,1362088977,2013-02-28 22:02:57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
113167,8784,119396,7,1362089048,2013-02-28 22:04:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
410766,30915,97733,7,1362089197,2013-02-28 22:06:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
408631,30797,2023587,7,1362089280,2013-02-28 22:08:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141073,10731,1623288,8,1362089293,2013-02-28 22:08:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35782,3165,1397280,6,1362089367,2013-02-28 22:09:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12095,1102,1596365,5,1362089455,2013-02-28 22:10:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
695109,52766,1790885,8,1362089561,2013-02-28 22:12:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165702,12732,2244901,2,1362089566,2013-02-28 22:12:46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
522735,39286,377062,8,1362089579,2013-02-28 22:12:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
706409,53520,371746,9,1362089586,2013-02-28 22:13:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593654,44495,1428538,6,1362089637,2013-02-28 22:13:57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
590199,44179,1748179,5,1362089646,2013-02-28 22:14:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
290805,21949,245429,8,1362089724,2013-02-28 22:15:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12986,1196,1764234,7,1362089763,2013-02-28 22:16:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
589302,44110,2177511,7,1362089951,2013-02-28 22:19:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
346146,26253,1013753,7,1362090030,2013-02-28 22:20:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
638867,48174,1258972,6,1362090137,2013-02-28 22:22:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
409246,30857,443272,8,1362090144,2013-02-28 22:22:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37620,3335,1024648,10,1362090199,2013-02-28 22:23:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
621443,46774,1568338,7,1362090246,2013-02-28 22:24:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
642493,48490,1707386,7,1362090554,2013-02-28 22:29:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
688908,52388,1656190,5,1362090592,2013-02-28 22:29:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29921,2697,1024648,8,1362090620,2013-02-28 22:30:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
430563,32333,1615147,7,1362091295,2013-02-28 22:41:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
640671,48283,111161,10,1362091305,2013-02-28 22:41:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
653887,49385,1441326,5,1362091558,2013-02-28 22:45:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
584398,43687,417148,6,1362091872,2013-02-28 22:51:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
584444,43687,1606378,7,1362091898,2013-02-28 22:51:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
177714,13633,1764651,5,1362091923,2013-02-28 22:52:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
346045,26245,948470,6,1362092050,2013-02-28 22:54:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
320543,24290,1790885,6,1362092053,2013-02-28 22:54:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
604952,45515,452623,8,1362092084,2013-02-28 22:54:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
396603,29929,1795702,9,1362092213,2013-02-28 22:56:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
355453,26818,1840417,7,1362092265,2013-02-28 22:57:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
355434,26818,1547234,7,1362092478,2013-02-28 23:01:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
684266,52004,1707386,8,1362092630,2013-02-28 23:03:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
319386,24238,118571,7,1362092661,2013-02-28 23:04:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
370840,27944,1649419,7,1362092722,2013-02-28 23:05:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
341280,25876,1024648,8,1362092791,2013-02-28 23:06:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
