condition,time
0,1625
1,860
0,6081
0,1997
0,631
0,6022
1,5242
1,1416
1,4888
1,1733
1,1331
1,8529
0,1714
1,966
1,965
0,2699
0,1457
1,723
0,1803
0,6866
0,4812
1,386
0,273
1,1813
1,2878
1,5750
0,7479
1,306
1,1638
1,6218
0,416
1,1068
0,2473
1,1322
0,4678
0,1350
1,1449
1,1502
1,964
1,4878
1,2470
0,9441
0,3208
0,1551
1,6290
1,750
0,995
1,3647
0,9059
0,1322
1,1612
1,3179
0,1085
1,5275
0,1987
0,1344
1,1738
0,1279
1,8392
0,4891
0,2684
1,5073
1,1187
0,7083
0,944
0,2299
1,601
0,1353
0,1226
1,2445
1,4641
0,6492
1,2213
1,1131
0,2288
1,6254
0,695
0,544
0,2870
1,1560
1,4556
1,1635
0,1880
0,6465
1,1525
1,6087
1,362
1,3486
0,3962
1,5877
0,2397
0,1724
0,8797
0,832
0,2987
1,346
1,7770
0,1780
1,1884
1,8242
1,729
0,3170
0,4490
1,4692
1,4368
1,1040
1,2569
0,1337
1,416
0,4733
0,1103
0,795
1,7152
1,2908
0,766
1,1804
1,1077
1,1809
1,196
1,4153
1,2770
0,1674
1,3266
1,1083
0,1432
0,5213
1,1882
1,2162
1,1120
1,1218
0,6717
1,5453
1,979
1,1563
1,1252
0,3290
0,1132
0,176
1,2544
1,3706
0,1192
0,985
0,1460
1,893
0,2065
0,810
1,2040
0,89
1,1686
0,686
0,5190
1,211
1,4019
0,1803
0,6571
1,886
0,991
0,2543
0,3001
1,445
1,1620
1,693
1,1054
0,4430
1,2399
1,1775
1,449
0,664
0,1152
0,1918
0,2073
1,676
1,2650
1,505
0,1928
0,777
1,5966
1,1024
1,659
0,4725
0,1861
0,1184
1,2139
1,4216
1,2167
0,8124
1,3916
1,6223
1,419
0,226
1,10835
0,1569
0,1217
0,1097
1,6656
1,3078
0,1590
0,2391
1,1165
0,856
1,1158
1,1289
0,5754
0,11727
0,831
1,2060
0,1624
0,1080
0,72
0,1122
0,1212
0,5918
0,2118
0,6939
1,1665
0,1259
0,7794
1,701
1,473
1,5330
1,1721
1,346
1,293
0,2365
0,1095
0,1690
1,3399
1,6883
0,1224
1,284
1,3568
1,4775
1,2174
0,3227
0,684
0,822
0,4129
0,2306
0,2073
1,1847
1,948
0,10157
1,3020
0,370
0,6980
0,4051
0,1787
0,1103
1,2038
0,643
0,2031
1,1849
1,3482
1,3933
1,2584
0,1973
1,2183
0,1659
1,11091
0,283
1,1723
0,9195
0,725
1,2574
1,1364
0,1314
0,1430
1,4658
0,825
0,2030
0,1820
0,1488
1,2167
0,1611
1,3582
1,2737
0,602
0,666
1,4140
0,4764
0,385
1,1371
1,2370
0,887
1,6108
0,4685
0,2785
1,2764
1,6024
0,827
1,4284
0,2213
0,960
0,3587
0,1896
1,2331
0,1232
0,6041
1,1482
0,775
1,1793
0,2070
0,545
1,1913
1,168
0,2053
1,3769
0,1105
1,5632
0,5927
1,825
1,1785
0,2833
1,1199
0,3039
0,3098
1,519
1,2280
0,7166
0,2695
0,1123
0,2443
1,937
0,8024
0,840
0,3640
1,811
1,5494
0,1898
0,1104
1,4721
0,1454
0,5372
1,3655
1,1770
0,2617
0,2474
1,1647
1,2103
1,6755
1,3221
1,3034
1,1122
1,1915
1,811
1,2916
1,382
0,8408
1,1995
1,3818
0,2369
1,526
1,2180
0,4759
0,350
1,3836
1,1134
1,1955
1,2513
0,5351
0,4067
1,1639
0,2586
0,1220
1,1491
1,5659
0,13095
0,3369
0,1201
0,617
0,2169
0,859
1,2386
1,7761
1,1764
0,1442
0,214
1,793
0,2888
1,5138
1,3695
0,268
0,1518
1,2690
0,1638
0,3060
0,496
0,1923
0,70
0,1475
1,432
0,2384
0,1998
0,1318
1,1239
1,2336
1,3373
1,1181
0,1695
1,1378
1,7095
1,2113
1,3900
0,1542
0,1826
0,3147
0,1780
1,7517
1,1290
1,2875
1,1050
1,543
1,3469
0,6032
0,2386
0,9193
1,849
1,5700
0,1821
0,1437
1,4261
1,13985
1,2417
1,643
1,2853
0,5403
0,1365
0,4235
0,3183
1,302
0,6272
1,8976
1,831
0,1859
0,2348
0,1648
0,745
1,992
0,5615
0,2114
1,5037
1,346
1,478
1,9509
0,2023
0,2930
1,2818
1,2010
0,1840
1,698
0,6210
0,1996
0,2413
0,1163
0,3203
0,3659
0,1049
1,1688
1,2387
1,2226
1,2172
1,1463
1,5648
0,1319
0,2519
0,1050
0,4236
0,3563
1,3995
1,423
1,994
1,1925
1,1857
1,1003
0,1429
0,7253
1,6809
1,4054
1,2997
1,1131
1,1102
1,1235
0,1328
0,5040
0,90
1,898
0,2684
0,1498
1,7694
0,2503
0,2736
1,1337
0,6919
1,3453
0,2628
1,937
0,4163
0,1122
1,4052
1,4569
1,2126
0,5726
0,1784
0,3989
1,1389
1,1517
0,849
0,2227
1,5417
1,5134
0,2509
0,2670
0,1835
0,5412
1,5477
1,2502
1,1419
1,2294
0,2777
0,4416
0,2252
1,8541
1,350
0,174
1,3024
0,2091
0,3323
1,304
1,978
0,1991
0,6738
0,1850
1,3011
1,1476
1,2673
0,827
0,2167
1,1596
1,1865
1,699
0,5008
1,4593
0,4329
1,2069
0,7486
0,3432
1,3179
0,6926
1,7520
1,2854
1,411
1,2467
1,714
0,3952
1,987
1,5425
1,6176
1,140
0,6560
0,1896
1,2280
0,3977
1,1001
1,2500
0,9532
0,4274
0,764
1,2698
1,651
0,4090
1,2213
0,1214
1,524
0,3533
0,3705
1,2459
0,3304
0,2100
1,1335
0,1765
0,2061
0,2866
1,804
0,1341
0,1701
0,685
0,1521
0,4628
0,2277
1,374
1,492
0,2746
0,8448
1,4734
1,1115
0,2876
1,474
0,1919
1,1086
1,5752
1,1512
1,1189
0,2518
1,2876
0,5695
0,500
1,2154
0,480
1,5387
1,432
1,635
1,3345
0,1576
1,2700
0,705
1,1159
1,1520
0,5677
0,310
0,820
1,2071
0,2120
0,3764
1,2466
0,2365
0,7824
0,3906
0,1231
0,3534
0,2131
1,1281
1,1149
1,4062
1,3099
0,5432
1,1752
0,890
0,2715
0,10286
0,967
0,1280
1,5299
0,1167
1,3647
0,1330
0,1925
0,1189
0,9016
1,3119
1,145
0,1187
1,3650
0,1634
1,2311
0,767
0,2747
0,1660
0,1266
0,4576
0,1337
1,1809
1,797
1,981
0,3303
1,1289
0,917
1,1099
1,2142
0,3338
0,5660
1,2361
0,826
1,387
1,3652
1,137
1,5275
1,1233
1,2139
0,883
1,9260
1,1824
1,2271
1,2338
1,146
1,5306
1,603
1,681
0,2289
0,1792
0,1180
1,1147
1,2735
0,2394
0,884
0,3277
0,1762
1,1808
0,2747
1,3283
1,1257
0,2000
1,2706
0,9771
1,4016
1,195
1,2390
0,3483
0,1136
1,8406
0,1513
0,968
0,3068
1,1510
1,652
1,2940
1,1877
1,3048
1,2218
0,1440
1,5959
0,1427
1,5202
0,2277
1,993
1,750
1,2438
0,1637
0,1008
1,4697
1,1423
0,894
0,494
0,6946
0,2106
1,1674
1,249
1,532
1,2109
1,2285
1,2579
1,2887
0,4631
1,2460
1,1590
0,2659
1,1006
0,2217
1,1363
1,375
1,4376
0,1323
0,4596
1,7548
1,3583
0,1906
0,7461
1,1245
1,1082
0,2298
0,865
1,298
1,4794
0,630
1,1859
1,2540
1,2548
1,1554
0,1981
1,2922
0,855
1,5589
1,4330
0,3980
0,3183
1,1462
0,2648
0,2182
0,2687
1,6920
0,856
0,571
1,832
1,923
0,2176
1,2039
1,246
0,479
0,1367
0,2362
1,4237
0,481
1,1585
0,2339
0,2959
1,1188
1,9257
0,734
0,2493
0,2956
1,1700
0,1553
1,1296
1,2527
0,1418
0,663
0,1104
1,1675
0,1112
1,4202
1,2269
1,603
1,2369
0,1087
0,642
0,2462
0,8804
1,1184
1,1676
0,3111
0,1544
0,2537
0,6766
1,1836
0,1476
1,1511
0,3943
0,1233
0,8193
1,2506
1,183
1,1599
0,4945
0,5544
1,979
0,2262
1,4228
0,3501
1,6594
1,1920
0,2177
0,375
0,802
1,1260
0,2385
1,5404
1,6998
1,2806
1,3365
0,3814
0,774
1,1573
0,2453
1,2476
0,3594
1,1485
1,1326
1,1212
0,1261
0,3374
1,2701
1,6498
0,4331
1,1258
0,2875
1,4154
1,3079
0,2282
0,3090
0,8322
1,2541
0,2352
0,2650
1,851
0,887
0,1240
0,1071
1,2667
1,2453
0,1012
0,7674
0,2587
1,3847
1,4360
1,1862
1,1423
1,3297
0,1088
0,3066
1,544
0,1054
0,1169
1,2231
1,7613
1,3929
0,590
1,757
1,527
0,1594
0,1122
0,883
0,2036
1,1188
0,4157
0,1098
0,2967
1,2044
1,675
1,4003
0,1028
0,384
1,1487
0,795
1,1826
0,2743
0,3835
0,1138
0,1659
1,2084
1,6061
0,2217
1,1627
0,9205
0,942
0,1981
1,3146
0,3953
1,1989
0,1249
1,2135
0,4622
0,1463
0,3941
1,556
1,2901
1,1494
1,3017
1,623
0,3219
1,3134
1,6903
0,6620
0,6831
0,1859
1,2776
0,2106
0,5743
0,6046
1,9773
0,983
0,5333
1,6146
1,463
0,3636
1,1510
0,3782
1,519
1,2545
0,3204
0,736
0,5439
1,545
1,1467
0,335
1,3109
0,6456
0,1478
1,1794
1,1841
0,1437
0,5076
1,4955
0,1670
0,4846
0,1553
1,686
0,1184
1,5821
0,2036
0,504
0,2096
1,1146
1,2769
1,1576
1,3451
1,1475
1,476
0,1843
0,689
0,800
1,4711
0,1823
1,3886
0,1598
1,1643
1,505
0,2596
0,1687
1,852
1,1575
0,277
1,801
1,2174
0,1259
1,2425
1,1710
1,5995
0,779
0,286
1,1502
1,1569
0,1067
1,1155
1,1804
1,953
1,561
1,2309
0,501
0,2047
0,4093
0,2211
0,1186
0,6776
1,65
1,1288
0,1151
0,3170
1,1044
1,3228
1,2363
1,2541
0,1355
1,3554
0,1786
1,592
0,812
0,1131
0,5165
1,5208
0,1572
1,5382
0,6024
1,1426
0,4205
0,481
0,3672
1,2504
1,1784
0,2529
1,2961
0,3562
0,529
0,3408
0,5036
1,795
0,2951
0,2021
0,2138
1,1204
1,2301
0,234
1,518
0,2761
0,6439
0,548
0,7810
1,1059
0,1990
1,5401
1,3428
0,1039
0,6643
0,2864
1,269
1,1184
1,2517
0,911
0,2179
1,1573
1,1584
0,2827
1,2633
1,5002
1,440
0,2106
1,3844
0,3748
0,1463
0,1032
1,7599
0,1424
1,4680
0,3640
1,345
0,1331
1,4333
1,1035
1,2129
1,3155
1,3079
0,7496
1,1311
1,1934
1,3647
1,686
0,3132
1,6470
1,712
1,964
1,2788
0,886
0,2842
0,472
0,2369
0,2900
1,2982
1,2089
0,7939
0,682
1,2783
0,3909
0,6219
0,480
0,4839
1,2178
0,789
1,1338
0,2955
1,131
0,5691
1,1149
1,842
0,1208
0,3822
0,696
1,847
1,907
1,8102
1,735
0,459
0,8333
0,7238
0,579
1,5871
0,1025
1,1678
1,2617
0,4547
0,1533
0,3729
1,1005
1,1569
0,3770
0,556
0,4457
0,1361
0,2743
1,2384
0,2578
1,1458
0,1123
1,3511
0,928
0,893
0,3112
0,3015
0,4377
0,6481
1,11920
0,2770
0,653
0,1477
0,695
0,5392
1,213
1,2564
0,2566
0,1310
1,2355
1,443
0,186
1,1038
1,1234
0,4802
1,486
1,822
0,297
1,369
1,2383
0,1289
1,558
1,4196
1,2651
0,4304
1,475
1,3566
0,3036
1,2048
0,2022
1,1687
1,1481
0,1086
0,1759
0,314
0,1336
0,1651
1,314
0,691
0,5371
1,5708
0,1131
1,4296
1,5849
1,3933
0,2562
1,2455
0,6810
1,1321
0,4509
1,1070
0,7202
0,1943
0,3947
0,2206
1,3593
1,2213
1,1339
1,2675
0,2192
1,7304
0,1033
0,1966
1,1124
0,2329
1,7715
0,4474
1,1661
1,2754
0,1855
1,561
1,492
1,789
1,5290
1,6383
0,2439
1,1616
0,4504
0,1871
0,4888
0,887
0,5412
0,3146
0,2024
0,616
1,533
0,3416
1,2244
1,1113
1,5058
0,3009
1,2236
0,1574
1,9814
1,3008
1,436
0,3308
0,758
1,2034
1,4595
1,516
1,3636
0,321
1,7131
0,482
1,1515
1,1331
1,986
1,1380
1,5846
1,1004
1,8108
0,3940
0,529
0,3542
1,1013
0,1179
1,2580
0,1014
0,2921
0,7385
1,2141
0,1364
1,2220
1,1461
0,317
1,4166
0,350
0,1597
0,2163
1,1285
1,1266
0,4853
1,3847
1,1038
1,233
0,272
1,812
1,933
0,4189
0,1728
1,1684
0,3933
0,513
1,1104
0,4809
0,4432
1,3175
0,3963
1,2589
0,3427
0,247
1,1501
1,2248
1,852
0,2941
0,1563
1,3217
1,3724
0,2808
1,757
1,1455
1,4344
1,9905
0,4731
1,3280
1,2042
1,1479
1,3833
0,1488
0,1742
1,939
1,467
0,1402
0,807
0,222
1,1033
0,3517
1,379
0,1886
0,5245
1,9321
0,2430
1,2905
0,1458
1,3531
0,1150
1,6864
0,1926
1,710
0,3897
1,6143
0,693
1,2392
0,5478
1,1216
0,4097
1,12281
0,3183
1,1418
1,5422
1,2472
1,1281
1,2112
1,6407
1,1060
1,1520
0,3559
0,2088
1,3678
0,1077
1,985
0,9316
1,4612
1,4961
1,1767
0,1275
1,5016
0,1053
0,1706
0,3889
0,1000
1,667
1,9161
1,2341
0,4750
1,2658
0,4101
0,1879
1,1455
0,1705
0,2487
0,811
0,2186
0,6285
1,1119
1,667
1,5492
1,2504
0,7340
1,1024
1,1612
0,2352
1,836
0,2863
1,5003
0,1022
1,2742
0,1792
0,1895
0,510
0,886
0,1066
0,919
1,2261
0,2744
0,918
1,1948
1,2747
0,2565
0,3368
1,8260
1,4159
0,678
0,536
0,6999
1,8302
1,3496
0,1326
0,1008
0,1008
0,1509
0,323
1,1497
1,869
0,3533
0,152
0,5314
1,1162
1,3774
0,2976
0,815
0,2733
1,193
1,806
0,1123
0,817
1,4135
0,1194
1,1359
1,9340
0,1850
0,1094
1,453
1,894
0,5331
1,3619
0,8116
0,775
1,912
0,1140
0,5790
0,1603
1,4773
0,2398
1,499
0,2548
0,3266
0,3410
1,3355
1,9886
0,4057
0,3056
0,2705
0,1133
0,2237
0,4389
1,761
1,7978
1,5317
1,4976
0,3808
1,2387
0,5988
1,2626
0,5473
0,4809
0,1597
1,1127
0,3296
1,615
0,7551
1,3727
1,1556
0,5671
1,650
0,549
1,3040
1,5769
0,233
0,6334
1,1672
0,1861
0,282
0,2976
0,1486
1,1263
0,508
1,1298
1,1668
1,1501
1,540
0,903
0,6998
0,1479
1,236
1,336
1,2911
1,544
0,3459
1,3736
1,6478
0,910
0,3587
0,1643
1,1394
0,1758
0,789
1,1205
0,4364
1,1805
0,1626
0,923
0,4579
1,2152
1,1545
1,629
1,1894
1,3478
1,1636
1,1151
0,5184
0,1259
0,2523
1,2164
1,2134
0,2494
0,1095
0,452
0,1874
1,1231
1,1097
1,1317
1,550
0,530
1,1898
1,241
0,1841
0,609
0,6959
1,2473
0,1427
0,1134
0,884
0,2007
0,1413
1,7973
1,5023
0,1128
0,1823
0,446
0,3437
1,386
0,5830
0,2937
0,1531
0,3955
1,1215
1,1167
1,1197
0,1980
1,2797
1,2178
1,1184
0,7241
0,261
1,2296
0,4957
0,2177
1,1552
0,335
1,854
0,1359
1,370
0,1618
0,1496
0,7724
1,3898
0,494
0,3134
0,2573
0,1206
0,2595
1,1254
1,2024
0,1291
1,1285
1,3092
0,1861
0,2995
0,1723
1,2970
1,1153
0,551
1,239
1,1097
0,1103
1,411
0,4721
1,3154
1,2955
0,8203
0,1679
0,8270
1,3921
0,574
0,796
1,6644
0,5610
1,1124
1,2965
1,904
0,1108
1,2142
0,1755
1,3239
1,1879
0,1469
0,1867
1,699
0,1305
0,5639
1,2574
0,4109
1,2656
0,2049
0,1257
1,1462
1,250
1,1092
0,5513
0,4559
1,2377
1,1250
0,966
0,1237
1,11010
1,1547
1,1681
1,1849
1,1083
1,1502
1,2709
0,4245
1,7056
1,4866
1,1347
1,905
0,8712
0,3859
0,880
1,1711
0,4863
0,3895
0,271
0,673
0,3318
1,556
1,5978
1,1552
1,1989
0,1033
0,5257
1,4312
1,2533
1,390
1,2334
0,930
1,1503
0,724
1,7177
0,4423
1,691
0,2204
1,1434
1,6706
0,1791
0,5298
0,3123
1,1115
0,4953
1,2375
1,2143
1,906
0,2157
0,7263
0,3711
1,1878
1,2978
1,1217
0,3229
0,5112
1,7571
1,3819
1,1805
0,3997
0,4470
1,2187
0,1237
1,1020
0,953
1,935
0,918
1,811
1,2635
0,1600
0,1213
0,2080
1,1334
0,1664
0,1735
0,1475
0,1923
0,2764
1,3198
0,2627
0,1831
0,4017
1,580
0,517
0,1418
0,1624
0,857
1,951
0,924
0,2712
1,637
1,1680
1,1390
0,4996
0,1178
1,7820
1,2549
1,3248
0,1573
0,1569
1,1410
1,8071
0,990
0,3806
0,12073
1,9101
1,1542
0,693
1,811
1,3963
1,2365
1,6075
1,4691
1,3124
1,1690
0,1782
1,209
1,1919
1,1497
1,3021
1,2049
0,723
0,3905
0,1778
1,4682
0,2983
0,336
0,4144
1,1462
1,1156
1,3109
0,3313
1,4316
0,7726
0,1633
1,4375
0,1364
0,1116
0,833
0,4482
1,753
1,2608
0,1736
1,2461
1,154
1,935
1,189
1,5309
0,1642
0,7775
0,4894
1,3816
0,3835
1,2051
0,738
0,346
0,2143
1,3456
0,1536
0,2505
0,655
1,5246
0,466
0,5420
1,3624
1,856
0,1743
0,2750
0,3844
0,2287
1,444
0,4979
0,1439
1,917
1,381
0,623
0,1644
0,3338
0,1589
1,4143
0,2302
0,7416
0,2808
0,1538
1,2510
0,1287
0,2119
1,1103
1,2843
0,964
1,676
0,2864
1,5643
1,2503
1,276
1,5039
0,1206
1,727
1,1596
0,2212
1,387
1,1579
0,2708
1,2259
0,4083
0,1690
1,1416
0,685
0,8542
0,2143
0,4708
1,2094
1,10097
0,2126
0,3506
1,4387
0,2874
1,4017
0,1562
1,614
1,2036
1,1067
1,203
1,7029
1,2930
1,3338
0,1904
1,361
1,785
0,2025
0,3079
0,1018
0,1377
1,180
1,3637
0,1446
0,871
1,1314
0,6274
1,1730
1,3873
0,2214
0,2992
0,1614
1,587
1,3622
0,3685
0,2198
1,5361
1,2461
1,3470
1,452
1,3166
0,1645
0,1681
1,1201
1,1495
0,819
0,1881
1,3168
1,743
1,3457
1,1125
0,6521
0,577
1,1711
1,521
1,2987
1,1168
1,1824
1,361
1,2625
1,425
0,1582
1,6820
0,668
0,2003
1,1002
1,879
0,1008
1,1264
1,6233
0,1448
1,238
0,2940
0,4943
0,559
1,3975
1,1287
1,3056
0,2760
1,1571
0,961
1,2219
0,5176
1,1291
0,1680
1,567
1,1482
1,2817
0,1763
1,495
0,5388
0,6343
0,2244
1,7048
0,1411
0,4576
1,8348
1,1830
1,1694
0,2399
1,1113
1,2922
1,4418
0,135
0,780
0,906
0,1885
1,1516
0,5490
0,2670
1,1508
0,1200
1,1999
1,3916
0,1328
1,1670
0,2038
0,2577
0,1475
0,2871
1,611
1,3482
0,1707
1,1929
0,1799
1,3339
0,651
1,2965
1,7970
0,1880
1,2898
1,267
1,3170
1,7790
0,3939
0,1171
1,1277
1,1700
0,1227
1,1410
0,9018
0,4730
1,1206
1,1211
1,1575
0,2921
0,1141
0,877
1,4151
0,386
0,3048
0,7041
0,513
1,1907
1,202
1,5734
0,503
0,8396
0,1366
0,789
0,338
1,1207
1,3348
0,1907
0,3570
1,1122
1,2382
0,6092
0,391
1,2269
1,5454
1,1858
1,633
0,1054
1,1222
0,6290
1,2776
0,1713
1,1832
0,1067
0,4612
1,2108
1,5946
1,2422
0,5475
1,1532
1,2339
1,3789
0,1507
0,793
1,183
1,6193
0,940
0,2030
0,2463
1,5009
1,654
1,2008
0,1118
1,2669
0,2092
1,480
0,261
0,372
1,1364
0,417
1,5234
1,304
0,6602
1,1331
0,986
1,2887
1,1057
1,1996
0,1824
0,1785
1,1976
1,3654
0,1886
1,1946
0,3435
1,1384
1,488
1,879
1,2141
1,471
1,2117
0,14301
0,1814
0,1768
0,294
1,3727
0,2040
0,1517
1,1570
1,1435
0,1888
1,1521
1,5872
0,1723
1,3810
0,2445
0,1587
0,1592
0,3638
0,6282
1,3362
0,1229
1,5998
0,2415
1,1271
0,346
0,2844
0,707
1,3476
1,2153
0,2475
0,3012
1,573
1,927
1,7032
0,1147
0,1684
1,844
0,7570
0,3321
0,5007
0,655
0,2697
0,4452
1,1909
0,4148
0,4426
0,5091
1,2690
0,297
1,1336
0,1018
1,1242
0,691
1,590
0,9186
1,4850
0,1380
1,1176
1,3234
0,1463
0,6309
1,4339
1,2573
1,3303
1,962
0,2874
0,5525
1,2416
0,2213
0,1412
0,1995
1,2263
1,1798
0,2993
1,321
0,2350
1,4304
0,6870
0,7864
0,2345
0,1710
1,1392
1,3820
1,5694
1,3192
0,2581
0,1580
1,1109
1,2735
1,3109
0,917
1,6526
1,3779
1,1476
0,590
0,1183
0,2174
0,721
0,1351
0,1226
0,110
0,2821
0,4013
0,1813
0,4494
0,6218
1,2911
0,2511
1,380
0,1094
0,2111
1,1069
1,1924
0,2017
1,2013
0,4842
0,5594
0,5899
0,2304
1,1011
1,2521
0,1722
0,1407
0,1864
1,1432
0,773
1,1693
0,2540
0,4626
0,6311
0,1772
0,2004
1,931
0,3825
1,6006
1,7779
0,3532
0,1118
1,1860
1,5732
1,1123
0,1024
0,3100
1,1499
1,1611
0,2159
0,2176
0,5779
0,660
1,568
0,1048
0,1819
1,3913
0,7358
0,2869
1,5736
1,1456
1,4707
0,528
0,433
1,500
1,5744
1,4581
0,1913
1,951
0,4989
1,1022
1,939
1,6027
1,1781
1,1239
1,1357
0,2107
1,1724
0,1679
1,665
1,1319
1,649
1,2380
1,734
1,1048
1,987
0,3409
0,1339
1,3092
0,450
0,1579
0,789
1,909
0,53
1,2182
1,1731
0,1480
0,1229
1,1314
1,875
0,1197
1,2285
1,952
1,6291
1,1675
0,2670
1,2986
0,1931
1,438
1,1042
0,2028
0,2786
1,1089
0,393
0,4974
0,2668
1,5806
1,6121
0,4885
1,1301
1,616
0,1999
1,3678
1,674
1,1227
0,2212
0,1236
0,2418
1,5117
1,3815
1,1524
1,114
1,2592
1,1835
1,3079
0,4059
1,3794
0,705
1,400
0,5093
0,993
1,2055
0,1382
0,1381
1,3470
1,871
1,1882
0,989
1,209
1,3579
0,881
0,1802
1,1525
1,4235
0,1706
1,9126
0,2787
0,2560
1,851
1,5818
0,1880
1,6185
0,5797
1,616
1,3701
1,608
1,3151
1,5571
1,16372
1,4941
1,542
0,3215
0,2919
0,3509
1,796
1,366
1,2049
1,6000
0,4085
1,1001
0,810
0,1546
0,2272
1,2480
1,1065
0,1560
1,1756
0,4396
0,2055
1,1407
1,1095
0,820
0,2483
1,996
1,2403
0,2092
0,4765
1,4262
0,2054
1,3610
0,1161
1,1211
1,2194
1,1821
0,720
1,1481
1,5691
0,1226
1,1301
0,1333
0,533
1,1036
0,331
0,1400
1,888
0,2230
1,2153
1,582
1,4701
1,2242
1,2037
0,3438
1,3741
1,4645
0,6660
1,1388
0,4843
1,2790
0,6067
0,896
1,6310
0,1395
1,4355
0,5586
0,548
0,8173
1,1435
0,2093
0,569
1,1908
1,1778
1,6605
0,5033
1,1398
1,783
0,4842
0,2118
1,1668
0,8575
1,3242
0,2632
1,1312
0,2774
1,2285
0,1235
0,712
0,1491
1,3242
1,525
0,2045
0,3088
1,6371
1,3107
0,2059
1,1794
0,2479
0,2297
0,6719
0,6655
1,4162
1,7840
0,5141
0,4237
1,2201
0,347
1,962
0,2076
0,194
0,1365
0,1843
0,2869
0,762
1,3475
0,2799
0,2580
0,658
0,1094
1,6715
0,3599
0,1737
1,6171
1,2292
1,2310
1,5472
0,1983
1,2573
0,8844
0,1527
0,1423
1,943
0,1918
0,2292
0,1990
1,4420
1,693
1,682
1,1970
0,2003
1,2821
1,1631
1,754
0,1559
1,1952
0,669
1,6106
0,2852
1,1924
1,1380
1,613
0,3308
0,1383
0,5794
0,424
1,11266
0,1545
1,1312
0,1135
1,2881
1,752
1,993
1,2125
0,3905
0,1777
0,1377
1,1949
0,5709
1,784
1,2096
0,8129
1,710
1,3400
1,384
0,2209
1,8151
0,2396
0,1105
1,2057
0,1621
0,1146
1,1407
0,2265
1,2527
1,4714
0,1777
0,640
0,5189
1,2079
0,759
0,2397
1,2391
0,1388
1,1477
0,6252
1,2178
1,5235
0,1464
1,2884
0,2535
1,2573
0,5928
1,1907
0,398
1,213
1,12487
1,1569
0,1706
1,1426
0,1783
0,2209
0,1024
1,1825
1,834
1,1458
1,2526
0,2022
0,4401
1,570
0,2536
1,6576
1,1178
1,1001
1,1776
0,1928
0,369
1,1490
1,2903
0,2600
1,621
0,764
1,521
1,235
0,3185
0,2915
0,1336
1,1103
1,873
1,1876
1,292
1,189
0,5058
0,2693
0,2138
0,442
1,1764
0,854
1,744
0,8595
0,2342
0,2117
0,1672
0,3018
1,388
0,1878
1,3514
0,1436
1,3620
0,1625
0,2449
1,1627
0,1618
1,1150
1,2382
0,5884
1,1509
0,952
0,2132
1,9126
1,784
0,952
0,4588
0,2623
0,1258
0,2408
0,965
1,1419
1,1261
0,6264
