_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,category,category:confidence,category_gold,id,screenname,text
662822412,FALSE,finalized,3,2/18/15 13:45,Information,1,,4.53491E+17,barclayswealth,UK entrepreneurial activity in 2013 at a glance - Barclays and @BGF_team Entrepreneurs Index: http://t.co/8F6YStpAqS http://t.co/Uqg4l09RC9
662822413,FALSE,finalized,3,2/18/15 13:41,Action,1,,4.45584E+17,barclayswealth,"Emma Turner, Head of Client Philanthropy provides a short insight into giving. Catch her latest blog here. #charity http://t.co/5YaLwoeoSm"
662822414,FALSE,finalized,3,2/18/15 13:35,Action,1,,4.40894E+17,barclayswealth,...Visit us @NAPFnews 5-7 March for more workforce insights. #NAPF #pension http://t.co/eR9REnMww6 http://t.co/HCbfiJBJkB
662822415,FALSE,finalized,3,2/18/15 12:23,Information,1,,4.33994E+17,barclayswealth,Will the chill in #emergingmarkets last a little longer as developed markets remain broadly positive? http://t.co/uiv1zY0eC0
662822416,FALSE,finalized,3,2/18/15 12:55,Action,0.6634,,4.33308E+17,barclayswealth,Since 2004 we've invested Â£37.5m in the #SpacesforSport programme to help young people develop life skills. More info:http://t.co/gnlgoedq7U
662822417,FALSE,finalized,3,2/18/15 8:54,Action,0.6775,,4.27847E+17,barclayswealth,Barclays Service Executives: helping you feel more secure about your finances. Find out more... #service http://t.co/hiMg3eeqkU
662822418,FALSE,finalized,3,2/18/15 13:45,Information,1,,4.22725E+17,barclayswealth,Jaime Arguello examines whether 2014 is the right time to seek opportunities in #EmergingMarkets. http://t.co/4YwH59RK65
662822419,FALSE,finalized,3,2/18/15 12:02,Information,1,,4.11854E+17,barclayswealth,"Student of the Year Awards for Island's exceptional young people, as we proudly sponsored for the 17th consecutive yr.http://t.co/ThFeBVRcpC"
662822420,FALSE,finalized,3,2/18/15 12:56,Information,1,,4.11542E+17,barclayswealth,Young people at the focus  4 local charities have been awarded funding at the 2013 Barclays Community Awards event. http://t.co/KKYEizko9H
662822421,FALSE,finalized,3,2/18/15 11:25,Information,1,,4.07891E+17,barclayswealth,We are delighted to have been ranked best wealth manager on social in the 2013 MyPrivateBanking report. @MPB_Research http://t.co/1JqEWdUEl1
662822422,FALSE,finalized,3,2/18/15 13:35,Information,1,,4.0389E+17,barclayswealth,"Barclays &amp  @BGF_team #EntrepreneursIndex report launches on Mon, looking at levels of entrepreneurial activity in the UK &amp  Ireland."
662822423,FALSE,finalized,3,2/18/15 13:59,Information,1,,4.00972E+17,barclayswealth,Proud to sponsor @BVCA Conference today. Lots of thought provoking content for the private equity industry. http://t.co/3quSldCkdj
662822424,FALSE,finalized,3,2/18/15 12:19,Information,1,,3.82113E+17,barclayswealth,â€œEmployers must now address the fundamental landscape change in workforce requirements and demandsâ€ù: Zain Wadee http://t.co/EWnxl8e78H
662822425,FALSE,finalized,3,2/18/15 12:24,Action,1,,3.81784E+17,barclayswealth,Gen Y: 65% seek financial education &amp  guidance says latest research. View our infographic for more details. http://t.co/Lq2539U7W1
662822426,FALSE,finalized,3,2/18/15 12:38,Action,1,,3.81765E+17,barclayswealth,Visit us at stand 310 @eb__live  to see a new way of approaching benefits in the workplace. #EBlive2013
662822427,FALSE,finalized,3,2/18/15 13:59,Information,1,,3.81433E+17,barclayswealth,Why benefit strategies are failing younger workers. Are they fit for purpose? #employeeengagment http://t.co/DflYI24Muc
662822428,FALSE,finalized,3,2/18/15 7:00,Information,1,,3.81414E+17,barclayswealth,"Gen X places importance on company pension schemes  77% value this, 69% value flexible working hours finds report. http://t.co/44xL64knF0"
662822429,FALSE,finalized,3,2/18/15 8:59,Information,1,,3.81119E+17,barclayswealth,"Baby Boomers: Least demanding generation, 71% value their company pension scheme &amp  57% career development says report http://t.co/uLfgPZ14hX"
662822430,FALSE,finalized,3,2/18/15 12:13,Information,1,,3.80769E+17,barclayswealth,Latest research finds over 90% of employees from all generations have no access to work-based financial guidance. http://t.co/SuyTDLPt8f
662822431,FALSE,finalized,3,2/18/15 9:36,Information,1,,3.80742E+17,barclayswealth,Employee benefits failing to meet expectations of todayâ€™s multigenerational workforce. #employeeengagment http://t.co/CE5JmPcC2t
662822432,FALSE,finalized,3,2/18/15 6:49,Action,1,,3.80374E+17,barclayswealth,#Barclays will be @eb__live join us &amp  discover a new way to approach workplace benefits. Register to join #EBLive2013 http://t.co/ErmGCX2RGv
662822433,FALSE,finalized,3,2/18/15 14:06,Information,1,,3.78559E+17,barclayswealth,Does your benefits package meet needs of younger workers? New Barclays report suggests employers need to adapt. http://t.co/tgJvgTVlzM
662822434,FALSE,finalized,3,2/18/15 11:32,Information,1,,3.78158E+17,barclayswealth,65% of Gen Y employees would value financial education or guidance in the workplace  83% say it's unvailable to them. http://t.co/w9EnRdi25p
662822435,FALSE,finalized,3,2/18/15 11:27,Information,1,,3.77357E+17,barclayswealth,One-size-fits-all employee benefits fail to meet needs of younger employees in workplace: Says new Barclays research. http://t.co/iydcirSpeu
662822436,FALSE,finalized,3,2/18/15 13:05,Action,1,,3.17276E+17,barclayswealth,Do you know the simple safety checks to make on your bike? Check out our video to find out more. http://t.co/wLBJaDxSmT
662822437,FALSE,finalized,3,2/18/15 4:40,Information,1,,3.16974E+17,barclayswealth,"Entrepreneurial activity in the industrial sector up by 30%, shows our latest Entrepreneurs Index. http://t.co/lJh4GmaSLs"
662822438,FALSE,finalized,3,2/18/15 10:34,Action,1,,3.16593E+17,barclayswealth,â€˜Get on your bikeâ€™ - the benefits of cycling from health &amp  freedom through to environment &amp  cost.Watch the video here http://t.co/MhoQFPOw
662822439,FALSE,finalized,3,2/18/15 12:38,Information,1,,3.16499E+17,barclayswealth,Entrepreneurial activity on the up in last six months of 2012 http://t.co/Sxfx9xDl94 Barclays Entrepreneurs Index in City AM
662822440,FALSE,finalized,3,2/18/15 12:59,Information,1,,3.16227E+17,barclayswealth,Resurgence in entrepreneurial activity across UK &amp  Ireland as shareholder changes increase http://t.co/elANBEsyIS
662822441,FALSE,finalized,3,2/18/15 12:23,Information,1,,3.16133E+17,barclayswealth,Our 2nd report in our Entrepreneurs Index series shows resurgence in entrepreneurial activity from H2 2011 to H2 2012 http://t.co/RXSZsHqtMq
662822442,FALSE,finalized,3,2/18/15 8:42,Action,0.6775,,3.15128E+17,barclayswealth,"Look out for the 2nd report in our Entrepreneurs Index series on Monday, which tracks entrepreneurial activity across the UK &amp  Ireland."
662822443,FALSE,finalized,3,2/18/15 12:23,Information,1,,2.79134E+17,barclayswealth,Barclays Wealth tops Customer Service Awards. http://t.co/muPHJ7Cg
662822444,FALSE,finalized,3,2/18/15 13:57,Information,1,,2.78545E+17,barclayswealth,Helping you make sense of Philanthropy... http://t.co/BlFchVO2
662822445,FALSE,finalized,3,2/18/15 7:00,Action,1,,2.74601E+17,barclayswealth,Check out the video highlights of the exclusive #OpenOutcry event @GregBDavies http://t.co/cJ03VkcR
662822446,FALSE,finalized,3,2/18/15 13:42,Action,1,,2.74244E+17,barclayswealth,Take a look at the highlights of the exclusive event #OpenOutcry the reality opera @GregBDavies http://t.co/U9rM2z18
662822447,FALSE,finalized,3,2/18/15 12:19,Information,1,,2.70948E+17,barclayswealth,Two STEP student awards for Barclays Wealth and Investment Management. http://t.co/DduRNDz7
662822448,FALSE,finalized,3,2/18/15 12:39,Information,1,,2.38973E+17,barclayswealth,Barclays Wealth and Investment Management sponsors Isle of Man Student of the Year awards. http://t.co/5ZI7shpM
662822449,FALSE,finalized,3,2/18/15 11:59,Information,1,,2.38353E+17,barclayswealth,Barclays Wealth and Investment Management sponsors IOD Seminar on the Director's role in managing risk. http://t.co/nXWDM1kV
662822450,FALSE,finalized,3,2/18/15 6:55,Information,1,,2.26359E+17,barclayswealth,Investors' biggest concerns focus on the developed world â€“ the euro's existential... http://t.co/sFVKc7l0
662822451,FALSE,finalized,3,2/18/15 8:53,Information,1,,2.15729E+17,barclayswealth,Our Behavioural Finance Specialists have developed a unique proprietary... http://t.co/TZ0lUIv3
662822452,FALSE,finalized,3,2/18/15 12:19,Information,1,,1.84349E+17,barclayswealth,RT WSJ Wealth Report Do the Rich Work Less as Their Taxes Increase? http://t.co/3tKQxy6d
662822453,FALSE,finalized,3,2/18/15 8:56,Information,1,,1.57531E+17,barclayswealth,RT WSJ Wealth Report Did The Rich Get Rich From Hard Work or ?Connections? ? http://t.co/wwKijiMZ
662822454,FALSE,finalized,3,2/18/15 3:55,Action,0.6695,,1.56676E+17,barclayswealth,"Buy Businesses, Not Governments. http://t.co/DJBG9BUx"
662822455,FALSE,finalized,3,2/18/15 8:41,Information,1,,1.36797E+17,barclayswealth,FT Eurozone Blog: Africa rebuffs Cameronâ€™s gay rights gambit http://t.co/e7VTs4fI
662822456,FALSE,finalized,3,2/18/15 13:43,Information,1,,1.36089E+17,barclayswealth,Over a third of global wealthy do not trust the next generation to safeguard their wealth http://t.co/PHTM2BO2
662822457,FALSE,finalized,3,2/18/15 13:36,Information,1,,1.2238E+17,barclayswealth,Barclays Wealth Blog Communication breakdown? - Our usual stoicism has been tested somewhat these last two weeks. We... http://t.co/xpzfQPsU
662822458,FALSE,finalized,3,2/18/15 9:10,Information,1,,1.22304E+17,barclayswealth,Barclays Wealth backs Student of the Year awards. http://ow.ly/6Qpkc
662822459,FALSE,finalized,3,2/18/15 12:40,Information,1,,1.22017E+17,barclayswealth,RT WSJ Wealth Report Steve Jobs Can Still Become a Great Philanthropist http://t.co/l3jjmAF4
662822460,FALSE,finalized,3,2/18/15 13:40,Information,1,,1.14326E+17,barclayswealth,Spain to Sell Government Bonds Amid Systemic-Risk Threat. http://ow.ly/6vb21
662822461,FALSE,finalized,3,2/18/15 10:34,Information,1,,9.63809E+16,barclayswealth,RT WSJ Wealth Report Government Defines Who is 'Family' for the Rich http://ow.ly/1dZvNM
662822462,FALSE,finalized,3,2/18/15 8:55,Information,1,,9.31204E+16,barclayswealth,RT WSJ Wealth Report How to Marry Rich in China - A new school called in Beijing called the Moral Education Center f... http://ow.ly/1dRQ4M
662822463,FALSE,finalized,3,2/18/15 12:21,Information,1,,9.07787E+16,barclayswealth,Barclays Wealthâ€™s Global Client Service Centres won UK Customer Experience Award in Financial Services at 2011 UK Customer Experience Awards
662822464,FALSE,finalized,3,2/18/15 4:00,Information,1,,9.07782E+16,barclayswealth,Barclays Wealth was named Wealth Manager of the Year for the third consecutive year at the 2011 Global Investor Awards. http://owl.li/5ClLv
662822465,FALSE,finalized,3,2/18/15 11:12,Information,1,,8.89197E+16,barclayswealth,"Barclays Wealth continues to recommend developed equities, despite volatile markets. http://owl.li/5yEqr"
662822466,FALSE,finalized,3,2/18/15 4:31,Information,1,,7.55951E+16,barclayswealth,Barclays Wealth partners with Museum of Liverpool for exhibition sponsorship. http://owl.li/56MzX
662822467,FALSE,finalized,3,2/18/15 12:25,Information,1,,7.355E+16,barclayswealth,"RT WSJ Wealth Report The Rich Use the Web Mostly for Money, Food & Porn http://ow.ly/1cS37H"
662822468,FALSE,finalized,3,2/18/15 13:21,Information,1,,1.32799E+16,barclayswealth,Foundations and endowments need to reconsider their investment approach in a low return environment. http://ow.ly/3nfch
662822469,FALSE,finalized,3,2/18/15 13:14,Information,1,,1.25355E+16,barclayswealth,The Global Culture of Philanthropy and Attitudes to Giving. http://ow.ly/3lURy
662822470,FALSE,finalized,3,2/18/15 6:45,Information,1,,24401760191,barclayswealth,RT @WSJWealthReport Are Rich Donors Ruining Higher Education? http://ow.ly/18ZjxN
662822471,FALSE,finalized,3,2/18/15 8:58,Information,1,,21655874522,barclayswealth,Barclays Wealth supports 'Women of The Year Awards'. http://ow.ly/2sknz
662822472,FALSE,finalized,3,2/18/15 9:02,Action,1,,15254146212,barclayswealth,RT @BarclaysStock: Have a look at the top ten most popular stocks in our Top Ten Trades from the last week http://bit.ly/cpdycq
662822473,FALSE,finalized,3,2/18/15 12:33,Information,1,,15031985088,barclayswealth,"RT @BarclaysStock: Investment ViewPoint: Comment looks at activity driving market sentiment, at home and away. http://tinyurl.com/34e9pv2"
662822474,FALSE,finalized,3,2/18/15 12:15,Information,1,,14832380886,barclayswealth,"Hard-working wealth, holistic wealth or co-operative wealth? The three themes for the future. http://ow.ly/1QB6Y"
662822475,FALSE,finalized,3,2/18/15 4:32,Information,1,,14822378523,barclayswealth,The emergence of the active investor - managing financial affairs is a daily routine for many. http://ow.ly/1QwTS
662822476,FALSE,finalized,3,2/18/15 8:44,Information,1,,12093237809,barclayswealth,"Barclays Wealth's Aaron Gurwitz is urging clients to stick with US equities, particularly those of developed economies. http://su.pr/17UUZi"
662822477,FALSE,finalized,3,2/18/15 13:44,Information,1,,12035760722,barclayswealth,Barclays Wealth Gives Groudle Glen Railway A Spring Spruce-Up. Staff volunteers from Barclays Wealth have been working...http://su.pr/1se57I
662822478,FALSE,finalized,3,2/18/15 12:37,Information,1,,11522961801,barclayswealth,"RT @bbcbusiness UK manufacturing activity grew at its fastest for 15 years in Mar, according to closely-watched survey http://bit.ly/axwoCE"
662822479,FALSE,finalized,3,2/18/15 13:36,Information,1,,8863188893,barclayswealth,RT @WSJWealthReport Millionaire Says Money â€˜Prevents Happinessâ€™ http://ow.ly/16xhzW
662822480,FALSE,finalized,3,2/18/15 12:35,Information,1,,8819406687,barclayswealth,RT @WSJWealthReport Americaâ€™s Top 50 Philanthropists Gave Less in 2009 http://ow.ly/16wPkH
662822481,FALSE,finalized,3,2/18/15 6:48,Information,1,,7230039218,barclayswealth,Barclays Wealth sponsorship of Spectator online Book Club - Barclays Wealth sponsors Spectator's literary online in... http://ow.ly/16f9D2
662822482,FALSE,finalized,3,2/18/15 9:14,Information,1,,6002176968,barclayswealth,Matt Brady on #philanthropy: Charitable Giving In Tough Times http://su.pr/7qQvp1
662822483,FALSE,finalized,3,2/18/15 8:40,Information,1,,5823283549,barclayswealth,Barclays Wealth looks at the current state of Guernsey's finance community http://ow.ly/Djqj
662822484,FALSE,finalized,3,2/18/15 12:51,Information,1,,5803288730,barclayswealth,Barclays Wealth Hosts Excellence Awards in Isle of Man http://ow.ly/D7Mr
662822485,FALSE,finalized,3,2/18/15 11:27,Information,1,,5798714141,barclayswealth,'Philanthropology: The Evolution of Giving' - Barclays Wealth identifies the characteristics of wealthy philanthropists. http://su.pr/9L1oeg
662822486,FALSE,finalized,3,2/18/15 14:03,Information,1,,5793576914,barclayswealth,"Record number of charities enter the 2009 Barclays Wealth Community Awards in Jersey, Channel Islands http://ow.ly/CZIy"
662822487,FALSE,finalized,3,2/18/15 5:20,Information,1,,5774908419,barclayswealth,RT @WSJWealthReport Does the Gates Foundation Need a $500 Million Complex? http://ow.ly/1625QH
662822488,FALSE,finalized,3,2/18/15 4:20,Information,0.6573,,5268770182,barclayswealth,RT @wealthinsights: Philanthropy's Challenge: Can Passion Overcome Pessimism? http://ow.ly/xmvR
662822489,FALSE,finalized,3,2/18/15 12:38,Information,1,,5227763215,barclayswealth,BW  wins Best Leadership Team in Global Private Banking in Geneva sponsored by The Banker & Professional Wealth Management magazines
662822490,FALSE,finalized,3,2/18/15 6:48,Information,1,,5205983341,barclayswealth,RT @WSJWealthReport Charitable Gifts to Drop 9% in 2009 - The Chronicle of Philanthropy says giving to the 400 larg... http://ow.ly/15XDQ3
662822491,FALSE,finalized,3,2/18/15 13:23,Information,1,,4914673694,barclayswealth,RT @WSJEconomy: Euro Zone Posts Trade Deficit http://bit.ly/sjlI2
662822492,FALSE,finalized,3,2/18/15 8:40,Information,0.6643,,4885333288,barclayswealth,RT @FT: The number of people out of work in Britain has fallen for the first time since spring 2008.. http://bit.ly/rIvTJ
662822493,FALSE,finalized,3,2/18/15 9:20,Information,1,,3978580446,barclayswealth,"AN AMBITIOUS younger breed of wealthy #philanthropists, known as  go givers  are emerging despite the recession http://su.pr/4ekTce"
662822494,FALSE,finalized,3,2/18/15 12:50,Information,1,,3892252109,barclayswealth,Isle of Man News: Barclays Wealth launches student of the year awards http://su.pr/7yGDT5
662822495,FALSE,finalized,3,2/18/15 6:56,Information,1,,2235515913,barclayswealth,WealthBriefing: Barclays Wealth bullish on philanthropy http://bit.ly/aOLUm
662822496,FALSE,finalized,3,2/18/15 4:33,Action,1,,2222122133,barclayswealth,See our daily research showing recent market developments http://bit.ly/BbOjj
662822497,FALSE,finalized,3,2/18/15 13:39,Information,1,,4.60827E+17,barclayswealth,"Five days to go till the Barclays #JerseyBoatShow. We return with a weekend packed with energy, events and activity. http://t.co/U8YyxdwCv5"
662822498,FALSE,finalized,3,2/18/15 9:17,Information,0.6569,,7.58579E+16,barclayswealth,"#HayFestival calling all young people 9+ aspiring film makers, learn how to storyboard at Elmley Foundation Theatre #hay http://owl.li/57pxF"
662822499,FALSE,finalized,3,2/18/15 3:56,Information,1,,3.82193E+17,barclayswealth,The Maturist: Concerned about pensions &amp  savings. Research shows their values have shaped todayâ€™s workplace. http://t.co/ZqrjJ8hyYm
662822500,FALSE,finalized,3,2/18/15 12:24,Information,0.6656,,3.17631E+17,barclayswealth,â€˜The road to safer cyclingâ€™  the latest video from our â€˜Cycle and the Cityâ€™ series on how to navigate the road safely http://t.co/yQo7KWNlIM
662822501,FALSE,finalized,3,2/18/15 13:06,Information,1,,1.37182E+17,barclayswealth,"Developed countries display higher levels of uncertainty in next generation looking after wealth: Australia 59%, US 61% http://t.co/r5r5Ib7o"
662822502,FALSE,finalized,3,2/18/15 4:23,Information,1,,3.47692E+17,barclayswealth,Entrepreneurship responsible for most UK wealth â€“ Barclays Wealth Insights. http://t.co/fZkE1ReDaR
662822503,FALSE,finalized,3,2/18/15 5:25,Information,0.6614,,3.47381E+17,barclayswealth,@GregBDavies discusses investing on behalf of someone else or an institution â€“ how much risk is right? http://t.co/SRNMWb1QVa
662822504,FALSE,finalized,3,2/18/15 8:43,Information,1,,3.20226E+17,barclayswealth,Overcoming the cost of being humanâ€_ http://t.co/LhNC2PldG1
662822505,FALSE,finalized,3,2/18/15 6:43,Information,1,,3.19156E+17,barclayswealth,Entrepreneurial activity in tech sector up by 40% on 201 shows the 2nd report in Barclays Entrepreneurs Index series http://t.co/8rWMXFOhPu
662822506,FALSE,finalized,3,2/18/15 12:56,Information,1,,9229858067,barclayswealth,"Gay, Lesbian Workers Increasingly At Home In the City http://ow.ly/18aWf"
662822507,FALSE,finalized,3,2/18/15 5:04,Information,1,,7519261606,barclayswealth,"The economic recovery â€œis fairly mediocre by historical standards, says Michael Dicks http://ow.ly/UcvA"
662822508,FALSE,finalized,3,2/18/15 14:03,Information,1,,15684323255,barclayswealth,RT @BarclaysStock: most popular trades from last week. Top Ten buys and sells http://bit.ly/6BQNBV
662822509,FALSE,finalized,3,2/18/15 13:16,Information,1,,4340168104,barclayswealth,RT @BarclaysStock: FOMC left rates unchanged following meeting but said economic activity had picked up following the severe downturn
662822510,FALSE,finalized,3,2/18/15 13:45,Information,1,,3.82587E+17,barclayswealth,Latest research shows Gen Z values flexible working &amp  access to career development. Are said to be socially aware. http://t.co/PivSYEACdw
662822511,FALSE,finalized,3,2/18/15 8:51,Information,1,,3.48093E+17,barclayswealth,Barclays are proud sponsors of Legal Week Private Client Forum: The evolution of wealth taking place 31/10 - 2/11. http://t.co/NMfnjZrG8o
662822512,FALSE,finalized,3,2/18/15 12:12,Information,0.6731,,3.21973E+17,barclayswealth,Numbers in safety â€“ welcome to the weird and wonderful world of the gilt market. http://t.co/V2swkNiiRQ
662822513,FALSE,finalized,3,2/18/15 13:58,Action,0.664,,2.89101E+17,barclayswealth,Are you a woman thinking of planning your finances better in 2013? The @BWSmartWoman community are there to support you http://t.co/ikjD7RLy
662822514,FALSE,finalized,3,2/18/15 9:15,Information,1,,15787266009,barclayswealth,"RT @WSJWealthReport Wealthy Give More Overseas, Less to Education, Religion http://ow.ly/17FYeA"
662822515,FALSE,finalized,3,2/18/15 10:31,Information,1,,12433725996,barclayswealth,"Aaron Gurwitz, head of investment strategy, is fairly optimistic that the global economic recovery will stay on track http://ow.ly/1A2rK"
662822516,FALSE,finalized,3,2/18/15 4:19,Information,1,,6057240668,barclayswealth,RT @WSJWealthReport A Stock Exchange for Charities - One of the biggest problems for philanthropists is finding the... http://ow.ly/164iDD
662822517,FALSE,finalized,3,2/18/15 13:41,Information,1,,4349686428,barclayswealth,RT BarclaysStockTrade RBS covered warrants for Â£1 for a limited time only http://su.pr/AjFlB9
662822518,FALSE,finalized,3,2/18/15 8:34,Information,0.6643,,4340186009,barclayswealth,RT @BarclaysStock: We consider how the global recession has developed and look ahead to the G20 summit http://bit.ly/OaYh7
662822519,FALSE,finalized,3,2/18/15 13:36,Information,1,,7.65739E+16,barclayswealth,#HayFestival award-winning folk #ElizaCarthyBand playing tonight in #BarclaysWealth Pavilion at 20:00 #hay - http://owl.li/58Hn9
662822520,FALSE,finalized,3,2/18/15 14:04,Information,1,,5360633199,barclayswealth,The Luxury Network marketing group launches in the UAE http://ow.ly/yydb
662822521,FALSE,finalized,3,2/18/15 4:34,Information,1,,1.93142E+17,barclayswealth,RT WSJ Wealth Report Is It Fair to Call Romney a 'Silver Spoon?' http://t.co/3CNv9VrM
662822522,FALSE,finalized,3,2/18/15 8:42,Information,1,,7.66346E+16,barclayswealth,#HayFestival Reading of children? classic Good Night Mr Tom in #BarclaysWealth Pavilion today #hay - http://owl.li/58Hna
662822523,FALSE,finalized,3,2/18/15 14:03,Information,1,,6078982489,barclayswealth,Barclays Wealth wins 'Most Integrated Consumer Campaign' at recent Marketing Effectiveness Awards.
662822524,FALSE,finalized,3,2/18/15 6:50,Information,1,,5015436970,barclayswealth,RT @FT: UK public finances suffer as tax revenues tumble: Government borrowing rises to Â£77.3bn in the first six months.http://bit.ly/1Q1lnb
662822525,FALSE,finalized,3,2/18/15 9:14,Information,1,,2441163669,barclayswealth,Isle of Man News: Barclays Wealth supports environmental and social awareness programme http://bit.ly/iEHqr
662822526,FALSE,finalized,3,2/18/15 14:03,Dialogue,0.6606,,4.64784E+17,barclayswealth,"Youâ€™ve seen the @ST_FastTrack 100 list, now let's celebrate the best of the best. Good luck to all nominees at the award ceremony on May 13."
662822527,FALSE,finalized,3,2/18/15 9:04,Information,1,,4.31735E+17,barclayswealth,"Derek White: â€˜We are still learning, understanding and evolving how to engage and support the start-up communityâ€™. #SeedcampLive"
662822528,FALSE,finalized,3,2/18/15 4:33,Information,0.6679,,4.31735E+17,barclayswealth,"@cee: â€˜We are more than simply an accelerator, we create ecosystems that function as support networks for start-ups globally.â€™ #SeedcampLive"
662822529,FALSE,finalized,3,2/18/15 12:24,Information,1,,3.85786E+17,barclayswealth,Barclays Wealth and Investment Management win at the European Contact Centre and Customer Service Awards
662822530,FALSE,finalized,3,2/18/15 9:34,Information,1,,1.37559E+17,barclayswealth,Global wealthy advise children to learn languages for success. 68% say English is vital  Britons say Chinese. http://t.co/6gDzSVOi
662822531,FALSE,finalized,3,2/18/15 8:45,Information,1,,1.28445E+17,barclayswealth,Isle of Man: Local school children have been 'showing racism the red card' with the help of three former professional footballers and...
662822532,FALSE,finalized,3,2/18/15 12:21,Information,1,,1.15733E+17,barclayswealth,New report highlights 100bn impact of major social issues and emphasises importance of early intervention http://t.co/AkskkGNh
662822533,FALSE,finalized,3,2/18/15 10:26,Action,1,,3.86164E+17,barclayswealth,"Barclays research shows 4 attitudes to financial planning, which does your workforce have? http://t.co/jmhLI5PsJP http://t.co/niyWLlNL0V"
662822534,FALSE,finalized,3,2/18/15 4:26,Information,0.6573,,2.49048E+17,barclayswealth,"Fantastic awards ceremony, Wealth Advisory proud to have been a finalist @ the STEP Private Client Awards @STEPsociety http://t.co/LYO7KzVw"
662822535,FALSE,finalized,3,2/18/15 6:57,Action,0.6747,,1.16134E+17,barclayswealth,Read how private funders are well placed to invest in innovative approaches to help tackle social problems. http://ow.ly/6zmwZ
662822536,FALSE,finalized,3,2/18/15 8:36,Information,1,,5.82356E+16,barclayswealth,RT WSJ Wealth Report Is Government Behind the Rising Fortunes of the Rich? http://ow.ly/1caz9c
662822537,FALSE,finalized,3,2/18/15 6:57,Information,1,,9619616225,barclayswealth,Barclays Wealth wins 'Best Overall Private Bank in the UK' at the Euromoney Private Banking Awards.
662822538,FALSE,finalized,3,2/18/15 13:49,Dialogue,0.6666,,4.66327E+17,barclayswealth,"After an exciting day we would like to thank guests for attending, followers for tuning in &amp  congratulations to the winners on their award."
662822539,FALSE,finalized,3,2/18/15 5:24,Dialogue,0.6747,,4.66326E+17,barclayswealth,Congratulations to Julie Deane of @CamSatchelCo for winning the Barclays Outstanding Achievement Award. #FastTrack100 #entrepreneurs #sme
662822540,FALSE,finalized,3,2/18/15 12:32,Dialogue,0.6628,,4.66325E+17,barclayswealth,Congratulations to the team @theLoungers for winning the Barclays Ones to Watch Award. #FastTrack100 #entrepreneurs #sme
662822541,FALSE,finalized,3,2/18/15 8:53,Information,1,,4.66323E+17,barclayswealth,"The moment you've been waiting for is here, 7 awards to be won. We will be presenting 'Outstanding Achievement' and 'Ones to Watch'."
662822542,FALSE,finalized,3,2/18/15 9:11,Action,1,,4.66278E+17,barclayswealth,"As the Q&amp A's come to an end we look forward to the awards ceremony later this evening, stay tuned and good luck to all the nominees."
662822543,FALSE,finalized,3,2/18/15 13:58,Information,0.6967,,4.66273E+17,barclayswealth,@RichardBranson:  90% of my time is spent on tackling world problems. E.g. I work with @globalcdp on the war against drugs in South America.
662822544,FALSE,finalized,3,2/18/15 8:51,Information,0.6643,,4.66265E+17,barclayswealth,"Response from @RichardBranson:  Find someone to step into our shoes to free you up, think about the bigger picture.  #FastTrack100"
662822545,FALSE,finalized,3,2/18/15 8:59,Exclude,0.339,,4.66231E+17,barclayswealth,"...Response: John Roberts:  Donâ€™t look at the stock price, put a plan in place and invest in your team ."
